time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404232097.79000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.81000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.24000	        2.00000	        2.42000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.62000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.83000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.24000	        2.00000	        2.42000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.62000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.85000	        0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.87000	        0.13000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.89000	        0.13000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        2.42000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.12000	      -10.00000	       -1.36000	       -2.00000	        4.62000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.92000	        0.13000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.13000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.24000	        2.00000	        2.42000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.94000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.13000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.96000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232097.98000	        0.13000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.12000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.31000	        0.00000
1404232098.00000	        0.13000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.13000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232098.02000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.12000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232098.04000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.13000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.79000	       10.00000	        2.24000	        2.00000	        2.42000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.21000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232098.06000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.13000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.12000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
1404232098.08000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.79000	       10.00000	        2.24000	        2.00000	        2.51000	        4.00000	       -1.10000	        0.00000	        2.73000	        0.00000	      -11.12000	      -10.00000	       -1.36000	       -2.00000	        4.53000	        4.00000	       -1.98000	        0.00000	        4.40000	        0.00000
