time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404232186.40000	       -0.13000	        0.00000	        1.80000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.42000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.71000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.42000	       -0.13000	        0.00000	        1.80000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	        0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.51000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.44000	       -0.13000	        0.00000	        1.80000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	        0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.51000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.71000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.46000	       -0.13000	        0.00000	        1.80000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	        0.04000	        0.00000	      -19.91000	      -20.00000	       10.18000	       10.00000	        2.33000	        2.00000	        2.51000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.49000	       -0.04000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.59000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.51000	       -0.13000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	        0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.18000	       10.00000	        2.33000	        2.00000	        2.59000	        4.00000	       -1.89000	        0.00000	        2.55000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.53000	       -0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	        0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.68000	        4.00000	       -1.89000	        0.00000	        2.55000	        0.00000	       -9.71000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.55000	       -0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.68000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.57000	       -0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.68000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.71000	      -10.00000	       -1.80000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.59000	       -0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.77000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.61000	       -0.13000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.86000	        4.00000	       -1.89000	        0.00000	        2.55000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.63000	       -0.13000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.86000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.65000	       -0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.86000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.67000	       -0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	        0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.86000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.80000	       -2.00000	        4.00000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
1404232186.69000	       -0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.33000	        2.00000	        2.86000	        4.00000	       -1.89000	        0.00000	        2.64000	        0.00000	       -9.80000	      -10.00000	       -1.89000	       -2.00000	        4.09000	        4.00000	       -1.19000	        0.00000	        1.85000	        0.00000
